Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Age in Yrs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Day of Joining,Age in Company (Years),Salary,Monthly ,County,City,Current Record Flag,Function
601071,Ms.,Liz,H,Frank,F,liz.frank@hotmail.com,31.39,2/14/2009,Q1,H1,2009,2,February,14,8.45,111079.4,9256.616667,UK,Warrington,Y,IT
238361,Prof.,Derrick,T,Vaughn,M,derrick.vaughn@ibm.com,52.32,05/06/1990,Q2,H1,1990,5,May,6,27.25,107924.4,16188.7,UK,Liverpool,N,IT
135089,Prof.,Zachary,G,Gregory,M,zachary.gregory@cox.net,30.72,7/14/2010,Q3,H2,2010,7,July,14,7.04,107571.7,16135.8,UK,Warrington,Y,IT
468128,Mr.,Larry,G,Gray,M,larry.gray@outlook.com,23.88,7/31/2015,Q3,H2,2015,7,July,31,1.99,107417.8,16112.7,UK,Liverpool,N,IT
474759,Mr.,Johnny,E,Dunlap,M,johnny.dunlap@gmail.com,54.77,7/15/2012,Q3,H2,2012,7,July,15,5.04,107397.2,16109.6,UK,Warrington,Y,IT
597202,Dr.,Frederic,E,Stephenson,M,frederic.stephenson@gmail.com,47.82,4/23/2013,Q2,H1,2013,4,April,23,4.27,106943.3,16041.5,UK,Warrington,Y,IT
581261,Dr.,Willis,L,Rose,M,willis.rose@gmail.com,38.03,12/25/2010,Q4,H2,2010,12,December,25,6.59,106914.4,16037.2,UK,Warrington,N,IT
419075,Mrs.,Hallie,G,Cervantes,F,hallie.cervantes@aol.com,38.1,04/03/2016,Q2,H1,2016,4,April,3,1.32,106687.2,16003.1,UK,Liverpool,Y,IT
421955,Ms.,Sonia,X,Cook,F,sonia.cook@gmail.com,52.1,12/25/2012,Q4,H2,2012,12,December,25,4.59,106495,15974.3,UK,Warrington,Y,IT
252371,Mr.,Dante,Q,Farmer,M,dante.farmer@aol.com,32.06,8/18/2010,Q3,H2,2010,8,August,18,6.95,106162.8,15924.4,UK,Liverpool,Y,IT
906870,Mr.,Arnulfo,M,Pittman,M,arnulfo.pittman@yahoo.ca,44.87,05/11/2002,Q2,H1,2002,5,May,11,15.22,105949.4,15892.4,UK,Warrington,Y,IT
116530,Drs.,Noelle,G,Paul,F,noelle.paul@yahoo.com,53.52,11/19/1988,Q4,H2,1988,11,November,19,28.71,105897.8,15884.7,UK,Liverpool,N,IT
633255,Hon.,Yvette,U,Warner,F,yvette.warner@yahoo.com,21.13,07/09/2017,Q3,H2,2017,7,July,9,0.05,105877.2,15881.6,UK,Warrington,Y,IT
995242,Mr.,Leonel,K,Atkins,M,leonel.atkins@hotmail.com,21.06,7/27/2017,Q3,H2,2017,7,July,27,0,105853.9,15878.1,UK,Warrington,Y,IT
701223,Ms.,Esmeralda,P,Grant,F,esmeralda.grant@yahoo.com,26.62,1/24/2013,Q1,H1,2013,1,January,24,4.51,105759.4,15863.9,UK,Warrington,Y,IT
326407,Mrs.,Sophie,F,Bass,F,sophie.bass@hotmail.com,27.55,10/13/2011,Q4,H2,2011,10,October,13,5.79,105555.6,15833.3,UK,Liverpool,Y,IT
603179,Mr.,Andrew,V,Price,M,andrew.price@yahoo.co.uk,30.42,5/31/2009,Q2,H1,2009,5,May,31,8.16,105341.1,15801.2,UK,Liverpool,Y,IT
344607,Mr.,Gregg,T,Mann,M,gregg.mann@verizon.net,58.24,07/09/1998,Q3,H2,1998,7,July,9,19.07,104782.2,15717.3,UK,Liverpool,Y,IT
114425,Mrs.,Doris,G,Glenn,F,doris.glenn@yahoo.co.uk,41.56,09/02/2002,Q3,H2,2002,9,September,2,14.91,104520.6,15678.1,UK,Warrington,Y,IT
668717,Hon.,Danial,F,Watts,M,danial.watts@hotmail.com,57.99,06/09/2013,Q2,H1,2013,6,June,9,4.14,104456.7,15668.5,UK,Warrington,Y,IT
141022,Mr.,Rodger,D,Chavez,M,rodger.chavez@outlook.com,36.07,03/03/2005,Q1,H1,2005,3,March,3,12.41,104155.6,15623.3,UK,Liverpool,N,IT
597805,Hon.,Marquis,R,Perkins,M,marquis.perkins@aol.com,32.68,04/07/2012,Q2,H1,2012,4,April,7,5.31,103539.4,15530.9,UK,Warrington,Y,IT
590579,Ms.,Priscilla,Z,Mays,F,priscilla.mays@gmail.com,31.92,2/26/2017,Q1,H1,2017,2,February,26,0.42,102836.1,15425.4,UK,Warrington,Y,IT
178602,Mrs.,Kristina,Q,Mcgowan,F,kristina.mcgowan@gmail.com,38.94,05/11/2007,Q2,H1,2007,5,May,11,10.22,102786.7,15418,UK,Warrington,N,IT
591698,Ms.,Bobbie,C,Singleton,F,bobbie.singleton@yahoo.com,32.51,01/01/2011,Q1,H1,2011,1,January,1,6.58,102502.8,15375.4,UK,Liverpool,N,IT
890432,Mrs.,Kimberly,K,Summers,F,kimberly.summers@msn.com,58.61,4/30/2006,Q2,H1,2006,4,April,30,11.25,102262.8,15339.4,UK,Liverpool,N,IT
242740,Ms.,Olive,L,Livingston,F,olive.livingston@charter.net,36.49,9/16/2002,Q3,H2,2002,9,September,16,14.87,102226.7,15334,UK,Liverpool,N,IT
458765,Ms.,Kristina,W,Ware,F,kristina.ware@gmail.com,36.11,10/18/2006,Q4,H2,2006,10,October,18,10.78,102197.8,15329.7,UK,Liverpool,Y,IT
225139,Prof.,Elias,A,Pena,M,elias.pena@hotmail.com,21.38,04/08/2017,Q2,H1,2017,4,April,8,0.3,101925.6,15288.8,UK,Liverpool,N,IT
830006,Ms.,Enid,M,Pearson,F,enid.pearson@cox.net,45.03,4/24/2006,Q2,H1,2006,4,April,24,11.27,101735,15260.3,UK,Liverpool,N,IT
750124,Mr.,Barry,A,Garner,M,barry.garner@gmail.com,37.63,1/26/2014,Q1,H1,2014,1,January,26,3.5,101635.6,15245.3,UK,Liverpool,N,IT
282037,Mr.,Bruno,M,Whitney,M,bruno.whitney@sbcglobal.net,41.38,04/04/2010,Q2,H1,2010,4,April,4,7.32,101617.8,15242.7,UK,Liverpool,Y,IT
